   97.5000   26.5000   80.8552
   97.5000   26.4667   81.1961
   97.5000   26.4333   79.9414
   97.5000   26.4000   76.3887
   97.5000   26.3667   70.5660
   97.5000   26.3333   65.6331
   97.5000   26.3000   62.5604
   97.5000   26.2667   61.2639
   97.5000   26.2333   61.5706
   97.5000   26.2000   63.2228
   97.5000   26.1667   66.1667
   97.5000   26.1333   71.0294
   97.5000   26.1000   83.1090
   97.5000   26.0667   87.3753
   97.5000   26.0333   92.1968
   97.5000   26.0000   97.5559
   97.5000   25.9667  103.5859
   97.5000   25.9333  110.5669
   97.5000   25.9000  118.6032
   97.5000   25.8667  115.5537
   97.5000   25.8333  121.5683
   97.5000   25.8000  127.8297
   97.5000   25.7667  132.7716
   97.5000   25.7333  136.4674
   97.5000   25.7000  139.1331
   97.5000   25.6667  141.0989
   97.5000   25.6333  143.0119
   97.5000   25.6000  147.0658
   97.5000   25.5667  146.7345
   97.5000   25.5333  145.3581
   97.5000   25.5000  143.3373
   97.5000   25.4667  140.6790
   97.5000   25.4333  137.9439
   97.5000   25.4000  134.9404
   97.5000   25.3667  132.6607
   97.5000   25.3333  129.3083
   97.5000   25.3000  125.3027
   97.5000   25.2667  121.2849
   97.5000   25.2333  117.4730
   97.5000   25.2000  113.7738
   97.5000   25.1667  109.8531
   97.5000   25.1333  106.3142
   97.5000   25.1000  106.4534
   97.5000   25.0667  102.1043
   97.5000   25.0333   98.1775
   97.5000   25.0000   94.8640
   97.5000   24.9667   91.7061
   97.5000   24.9333   88.5158
   97.5000   24.9000   84.9498
   97.5000   24.8667   79.8179
   97.5000   24.8333   75.3669
   97.5000   24.8000   71.5515
   97.5000   24.7667   68.6402
   97.5000   24.7333   66.2365
   97.5000   24.7000   64.7393
   97.5000   24.6667   63.5495
   97.5000   24.6333   62.3516
   97.5000   24.6000   60.8329
   97.5000   24.5667   60.0321
   97.5000   24.5333   59.5133
   97.5000   24.5000   59.8192
   97.5000   24.4667   60.8830
   97.5000   24.4333   63.2391
   97.5000   24.4000   66.7007
   97.5000   24.3667   71.1382
   97.5000   24.3333   76.2009
   97.5000   24.3000   78.1812
   97.5000   24.2667   79.3364
   97.5000   24.2333   80.9577
   97.5000   24.2000   83.1689
   97.5000   24.1667   85.1064
   97.5000   24.1333   85.1337
   97.5000   24.1000   85.3122
   97.5000   24.0667   85.3704
   97.5000   24.0333   85.2163
   97.5000   24.0000   85.0087
   97.5000   23.9667   84.7350
   97.5000   23.9333   84.3102
   97.5000   23.9000   83.7219
   97.5000   23.8667   80.2290
   97.5000   23.8333   78.7824
   97.5000   23.8000   77.7185
   97.5000   23.7667   76.8388
   97.5000   23.7333   76.3428
   97.5000   23.7000   76.0918
   97.5000   23.6667   75.8599
   97.5000   23.6333   75.9925
   97.5000   23.6000   77.7032
   97.5000   23.5667   77.3908
   97.5000   23.5333   76.9877
   97.5000   23.5000   76.5636
   97.5333   26.5000   81.3449
   97.5333   26.4667   81.8036
   97.5333   26.4333   80.6645
   97.5333   26.4000   77.3371
   97.5333   26.3667   71.6570
   97.5333   26.3333   66.8408
   97.5333   26.3000   64.0681
   97.5333   26.2667   63.0395
   97.5333   26.2333   63.5177
   97.5333   26.2000   65.3175
   97.5333   26.1667   68.3852
   97.5333   26.1333   73.5174
   97.5333   26.1000   85.0980
   97.5333   26.0667   90.1758
   97.5333   26.0333   95.1654
   97.5333   26.0000  100.6051
   97.5333   25.9667  106.6773
   97.5333   25.9333  113.5613
   97.5333   25.9000  120.9180
   97.5333   25.8667  117.7941
   97.5333   25.8333  122.2033
   97.5333   25.8000  129.3306
   97.5333   25.7667  135.1075
   97.5333   25.7333  138.6593
   97.5333   25.7000  140.3285
   97.5333   25.6667  141.1702
   97.5333   25.6333  144.0186
   97.5333   25.6000  148.4918
   97.5333   25.5667  147.9703
   97.5333   25.5333  146.3634
   97.5333   25.5000  144.0529
   97.5333   25.4667  141.1505
   97.5333   25.4333  138.0509
   97.5333   25.4000  134.6230
   97.5333   25.3667  131.9918
   97.5333   25.3333  128.3060
   97.5333   25.3000  123.9992
   97.5333   25.2667  119.6903
   97.5333   25.2333  115.7281
   97.5333   25.2000  111.8596
   97.5333   25.1667  107.8777
   97.5333   25.1333  104.3146
   97.5333   25.1000  104.0391
   97.5333   25.0667  100.0150
   97.5333   25.0333   96.2561
   97.5333   25.0000   93.0728
   97.5333   24.9667   90.1769
   97.5333   24.9333   87.3282
   97.5333   24.9000   83.9195
   97.5333   24.8667   79.8516
   97.5333   24.8333   75.9981
   97.5333   24.8000   72.6464
   97.5333   24.7667   69.6803
   97.5333   24.7333   67.4528
   97.5333   24.7000   66.2707
   97.5333   24.6667   65.0859
   97.5333   24.6333   63.6969
   97.5333   24.6000   62.0168
   97.5333   24.5667   60.9850
   97.5333   24.5333   60.3433
   97.5333   24.5000   60.5116
   97.5333   24.4667   61.4457
   97.5333   24.4333   63.7373
   97.5333   24.4000   67.0849
   97.5333   24.3667   70.7923
   97.5333   24.3333   74.6752
   97.5333   24.3000   77.2580
   97.5333   24.2667   78.9765
   97.5333   24.2333   80.6114
   97.5333   24.2000   82.1579
   97.5333   24.1667   83.3849
   97.5333   24.1333   84.3448
   97.5333   24.1000   84.8207
   97.5333   24.0667   85.1033
   97.5333   24.0333   84.9180
   97.5333   24.0000   84.6243
   97.5333   23.9667   84.2315
   97.5333   23.9333   83.6604
   97.5333   23.9000   82.6414
   97.5333   23.8667   79.1244
   97.5333   23.8333   77.4540
   97.5333   23.8000   76.2275
   97.5333   23.7667   75.2642
   97.5333   23.7333   74.7346
   97.5333   23.7000   74.4823
   97.5333   23.6667   74.3381
   97.5333   23.6333   74.6029
   97.5333   23.6000   76.4868
   97.5333   23.5667   76.3897
   97.5333   23.5333   76.1361
   97.5333   23.5000   75.9458
   97.5667   26.5000   80.3407
   97.5667   26.4667   80.9470
   97.5667   26.4333   80.0698
   97.5667   26.4000   76.9909
   97.5667   26.3667   71.6484
   97.5667   26.3333   67.1979
   97.5667   26.3000   64.7079
   97.5667   26.2667   63.9141
   97.5667   26.2333   64.5925
   97.5667   26.2000   66.5940
   97.5667   26.1667   69.8765
   97.5667   26.1333   75.2279
   97.5667   26.1000   87.1151
   97.5667   26.0667   92.3059
   97.5667   26.0333   97.4043
   97.5667   26.0000  102.8699
   97.5667   25.9667  108.9197
   97.5667   25.9333  115.7086
   97.5667   25.9000  122.9444
   97.5667   25.8667  120.0503
   97.5667   25.8333  125.6489
   97.5667   25.8000  131.5008
   97.5667   25.7667  136.1088
   97.5667   25.7333  139.4337
   97.5667   25.7000  141.6534
   97.5667   25.6667  143.1640
   97.5667   25.6333  144.5497
   97.5667   25.6000  148.0777
   97.5667   25.5667  147.1966
   97.5667   25.5333  145.2729
   97.5667   25.5000  142.6452
   97.5667   25.4667  139.3812
   97.5667   25.4333  135.9050
   97.5667   25.4000  131.9871
   97.5667   25.3667  128.7032
   97.5667   25.3333  124.4644
   97.5667   25.3000  119.7530
   97.5667   25.2667  115.2103
   97.5667   25.2333  111.0696
   97.5667   25.2000  107.1130
   97.5667   25.1667  103.0882
   97.5667   25.1333   99.5459
   97.5667   25.1000   99.6079
   97.5667   25.0667   95.5404
   97.5667   25.0333   91.8859
   97.5667   25.0000   88.9374
   97.5667   24.9667   86.4036
   97.5667   24.9333   84.1543
   97.5667   24.9000   81.6345
   97.5667   24.8667   78.1342
   97.5667   24.8333   74.9719
   97.5667   24.8000   72.1929
   97.5667   24.7667   69.8141
   97.5667   24.7333   67.7655
   97.5667   24.7000   66.5910
   97.5667   24.6667   65.3464
   97.5667   24.6333   63.9200
   97.5667   24.6000   62.0844
   97.5667   24.5667   60.9834
   97.5667   24.5333   60.1340
   97.5667   24.5000   60.1769
   97.5667   24.4667   60.9732
   97.5667   24.4333   63.1035
   97.5667   24.4000   66.1342
   97.5667   24.3667   69.5677
   97.5667   24.3333   73.1540
   97.5667   24.3000   75.5278
   97.5667   24.2667   77.1810
   97.5667   24.2333   78.7490
   97.5667   24.2000   80.2574
   97.5667   24.1667   81.4958
   97.5667   24.1333   82.5329
   97.5667   24.1000   83.1156
   97.5667   24.0667   83.4461
   97.5667   24.0333   83.2147
   97.5667   24.0000   82.8435
   97.5667   23.9667   82.3088
   97.5667   23.9333   81.6001
   97.5667   23.9000   80.2507
   97.5667   23.8667   76.4820
   97.5667   23.8333   74.5549
   97.5667   23.8000   73.1210
   97.5667   23.7667   71.9729
   97.5667   23.7333   71.4106
   97.5667   23.7000   71.2602
   97.5667   23.6667   71.2384
   97.5667   23.6333   71.6294
   97.5667   23.6000   73.8291
   97.5667   23.5667   73.8559
   97.5667   23.5333   73.8345
   97.5667   23.5000   73.9143
   97.6000   26.5000   77.5874
   97.6000   26.4667   78.3262
   97.6000   26.4333   77.6892
   97.6000   26.4000   74.9966
   97.6000   26.3667   70.2234
   97.6000   26.3333   66.2769
   97.6000   26.3000   64.1622
   97.6000   26.2667   63.6221
   97.6000   26.2333   64.5538
   97.6000   26.2000   66.7827
   97.6000   26.1667   70.2944
   97.6000   26.1333   75.8560
   97.6000   26.1000   87.8936
   97.6000   26.0667   93.2320
   97.6000   26.0333   98.4087
