   585    3.8684    0.0921       034
  120.4000   23.9000  119.9000   26.2000    3.7005
  115.8000   27.4000  116.2000   23.8000    3.9954
  115.6000   25.0000  116.2000   23.8000    3.6675
  116.6000   27.5000  116.2000   23.8000    3.8824
  119.1000   27.6000  116.2000   23.8000    3.8552
  116.3000   26.3000  116.2000   23.8000    3.9255
  115.7000   27.9000  116.2000   23.8000    3.8242
  115.8000   25.6000  116.2000   23.8000    3.8242
  116.2000   28.2000  116.2000   23.8000    3.8032
  118.4000   24.5000  116.2000   23.8000    3.8658
  116.3000   26.3000  116.6000   24.7000    3.8238
  115.8000   27.4000  116.6000   24.7000    3.6699
  115.8000   25.6000  116.6000   24.7000    3.8590
  116.2000   28.2000  116.6000   24.7000    3.8687
  118.9000   27.4000  116.6000   24.7000    3.9520
  118.1000   26.0000  116.6000   24.7000    3.8371
  118.0000   28.4000  116.6000   24.7000    3.8475
  118.4000   24.5000  116.6000   24.7000    3.9173
  115.7000   27.9000  116.6000   24.7000    3.8605
  116.5000   25.0000  118.9000   26.4000    3.6531
  115.8000   27.4000  118.9000   26.4000    3.9376
  116.6000   23.7000  118.9000   26.4000    3.8748
  118.6000   24.9000  118.9000   26.4000    3.9388
  117.4000   26.0000  118.9000   26.4000    3.8935
  116.6000   27.5000  118.9000   26.4000    3.8514
  116.2000   28.2000  118.9000   26.4000    3.8683
  119.5000   27.4000  118.9000   26.4000    4.1094
  117.3000   24.4000  118.9000   26.4000    3.7202
  115.7000   27.9000  118.9000   26.4000    3.8622
  118.0000   28.4000  118.9000   26.4000    3.8364
  118.5000   27.9000  118.9000   26.4000    3.8492
  119.1000   27.6000  118.9000   26.4000    3.9241
  117.1000   25.7000  118.9000   26.4000    3.7837
  117.5000   27.3000  118.9000   26.4000    3.8289
  116.1000   24.3000  118.9000   26.4000    3.8382
  117.2000   26.4000  118.9000   26.4000    3.8547
  118.0000   27.7000  118.9000   26.4000    3.8293
  119.5000   25.2000  118.9000   26.4000    3.6978
  119.6000   28.0000  118.9000   26.4000    3.8470
  118.4000   24.5000  118.9000   26.4000    3.9835
  115.8000   25.6000  118.9000   26.4000    3.9400
  117.6000   24.5000  118.9000   26.4000    3.9278
  116.3000   26.3000  118.9000   26.4000    3.9144
  116.6000   24.7000  118.9000   26.4000    3.8785
  118.0000   27.7000  119.8000   25.5000    3.7324
  118.0000   28.4000  119.8000   25.5000    3.9084
  116.6000   23.7000  119.8000   25.5000    3.7507
  118.9000   27.4000  119.8000   25.5000    3.9760
  119.6000   28.0000  119.8000   25.5000    3.9697
  117.5000   27.3000  119.8000   25.5000    3.7919
  116.1000   24.3000  118.2000   25.3000    3.8580
  116.6000   27.5000  118.2000   25.3000    3.8025
  116.6000   23.7000  118.2000   25.3000    3.9293
  116.6000   24.7000  118.2000   25.3000    3.7153
  118.0000   28.4000  118.2000   25.3000    3.8608
  119.1000   27.6000  118.2000   25.3000    3.9748
  115.8000   25.6000  118.2000   25.3000    3.8408
  115.7000   27.9000  118.2000   25.3000    3.8624
  116.2000   28.2000  118.2000   25.3000    3.8989
  118.9000   27.4000  118.2000   25.3000    3.8897
  116.3000   26.3000  118.2000   25.3000    3.7768
  115.8000   27.4000  118.2000   25.3000    3.8692
  120.4000   23.9000  118.4000   24.5000    3.7546
