   729    3.7618    0.0608       026
  120.4000   23.9000  119.9000   26.2000    3.7157
  115.8000   27.4000  116.2000   23.8000    3.8152
  115.6000   25.0000  116.2000   23.8000    3.6897
  116.6000   27.5000  116.2000   23.8000    3.7656
  119.1000   27.6000  116.2000   23.8000    3.7339
  116.3000   26.3000  116.2000   23.8000    3.8009
  115.7000   27.9000  116.2000   23.8000    3.7565
  118.0000   28.4000  116.2000   23.8000    3.7576
  115.8000   25.6000  116.2000   23.8000    3.7487
  116.2000   28.2000  116.2000   23.8000    3.7297
  118.4000   24.5000  116.2000   23.8000    3.7713
  116.3000   26.3000  116.6000   24.7000    3.7320
  115.8000   27.4000  116.6000   24.7000    3.7229
  115.8000   25.6000  116.6000   24.7000    3.7366
  116.2000   28.2000  116.6000   24.7000    3.7672
  118.9000   27.4000  116.6000   24.7000    3.7512
  118.1000   26.0000  116.6000   24.7000    3.7059
  119.6000   28.0000  116.6000   24.7000    3.8164
  116.6000   23.7000  116.6000   24.7000    3.9719
  119.1000   27.6000  116.6000   24.7000    3.7466
  118.0000   28.4000  116.6000   24.7000    3.7479
  118.4000   24.5000  116.6000   24.7000    3.7521
  115.7000   27.9000  116.6000   24.7000    3.7586
  116.5000   25.0000  118.9000   26.4000    3.6621
  115.8000   27.4000  118.9000   26.4000    3.7982
  116.6000   23.7000  118.9000   26.4000    3.7859
  118.6000   24.9000  118.9000   26.4000    3.7818
  117.2000   26.9000  118.9000   26.4000    3.7623
  117.4000   26.0000  118.9000   26.4000    3.8228
  119.8000   25.5000  118.9000   26.4000    3.9383
  116.6000   27.5000  118.9000   26.4000    3.7578
  116.2000   28.2000  118.9000   26.4000    3.7604
  119.5000   27.4000  118.9000   26.4000    3.8550
  117.3000   24.4000  118.9000   26.4000    3.7186
  115.7000   27.9000  118.9000   26.4000    3.7759
  116.2000   23.8000  118.9000   26.4000    3.7184
  118.0000   28.4000  118.9000   26.4000    3.7519
  118.5000   27.9000  118.9000   26.4000    3.7528
  119.1000   27.6000  118.9000   26.4000    3.7314
  117.1000   25.7000  118.9000   26.4000    3.7343
  118.2000   25.3000  118.9000   26.4000    3.8850
  117.5000   27.3000  118.9000   26.4000    3.7381
  116.1000   24.3000  118.9000   26.4000    3.7214
  117.2000   26.4000  118.9000   26.4000    3.7748
  118.0000   27.7000  118.9000   26.4000    3.7226
  119.5000   25.2000  118.9000   26.4000    3.6757
  119.6000   28.0000  118.9000   26.4000    3.6454
  118.4000   24.5000  118.9000   26.4000    3.8171
  115.8000   25.6000  118.9000   26.4000    3.7620
  117.6000   24.5000  118.9000   26.4000    3.7515
  116.3000   26.3000  118.9000   26.4000    3.8105
  116.6000   24.7000  118.9000   26.4000    3.7562
  118.0000   27.7000  119.8000   25.5000    3.6412
  117.2000   26.9000  119.8000   25.5000    3.8222
  119.1000   27.6000  119.8000   25.5000    3.9177
  117.6000   24.5000  119.8000   25.5000    3.9037
  115.7000   27.9000  119.8000   25.5000    3.8035
  116.6000   27.5000  119.8000   25.5000    3.7663
  117.1000   25.7000  119.8000   25.5000    3.8357
  118.0000   28.4000  119.8000   25.5000    3.7611
  118.2000   25.3000  119.8000   25.5000    3.9566
  116.6000   23.7000  119.8000   25.5000    3.7240
  118.9000   27.4000  119.8000   25.5000    3.6986
  118.6000   24.9000  119.8000   25.5000    3.7089
  119.6000   28.0000  119.8000   25.5000    3.8061
  117.5000   27.3000  119.8000   25.5000    3.7287
  116.1000   24.3000  118.2000   25.3000    3.7193
  116.6000   27.5000  118.2000   25.3000    3.6981
  116.6000   23.7000  118.2000   25.3000    3.7441
  116.6000   24.7000  118.2000   25.3000    3.7056
  118.0000   28.4000  118.2000   25.3000    3.7723
  119.1000   27.6000  118.2000   25.3000    3.7709
  115.8000   25.6000  118.2000   25.3000    3.7006
  115.7000   27.9000  118.2000   25.3000    3.7360
  116.2000   28.2000  118.2000   25.3000    3.7445
  117.6000   24.5000  118.2000   25.3000    3.9248
  118.9000   27.4000  118.2000   25.3000    3.7833
  116.2000   23.8000  118.2000   25.3000    3.7619
  116.3000   26.3000  118.2000   25.3000    3.7335
  115.8000   27.4000  118.2000   25.3000    3.7432
  118.4000   24.5000  115.6000   25.0000    3.7668
  120.4000   23.9000  118.4000   24.5000    3.8021
  119.1000   27.6000  118.4000   24.5000    3.8061
  119.9000   26.2000  118.4000   24.5000    3.7863
  118.2000   25.3000  117.3000   24.4000    3.6225
  116.1000   24.3000  117.3000   24.4000    3.9358
  119.1000   27.6000  117.3000   24.4000    3.7455
  119.0000   25.4000  117.3000   24.4000    3.7832
  118.0000   28.4000  117.3000   24.4000    3.7572
  115.7000   27.9000  117.3000   24.4000    3.7097
  118.0000   27.7000  117.3000   24.4000    3.7733
  116.2000   23.8000  117.3000   24.4000    3.7562
  117.5000   27.3000  117.3000   24.4000    3.7445
  117.4000   26.0000  117.3000   24.4000    3.7863
  116.3000   26.3000  117.3000   24.4000    3.6845
  118.6000   24.9000  117.3000   24.4000    3.9623
  116.6000   27.5000  117.3000   24.4000    3.7430
  116.2000   28.2000  117.3000   24.4000    3.7391
  117.2000   26.9000  117.3000   24.4000    3.7685
  118.9000   27.4000  117.3000   24.4000    3.7482
  115.8000   27.4000  117.3000   24.4000    3.7924
  119.5000   27.4000  117.3000   24.4000    3.7333
  118.1000   26.0000  117.3000   24.4000    3.7561
  115.6000   25.0000  117.3000   24.4000    3.6529
  117.1000   25.7000  117.3000   24.4000    3.7433
  115.8000   25.6000  117.3000   24.4000    3.7054
  119.5000   25.2000  117.3000   24.4000    3.8508
  115.6000   25.0000  116.6000   27.5000    3.9039
  116.3000   26.3000  116.6000   27.5000    3.8214
  119.1000   27.6000  116.6000   27.5000    3.7511
  118.0000   28.4000  116.6000   27.5000    3.7459
  118.4000   24.5000  116.6000   27.5000    3.7462
  118.0000   28.4000  118.1000   26.0000    3.7566
  118.9000   27.4000  118.1000   26.0000    3.7866
  116.6000   23.7000  118.1000   26.0000    3.7471
  115.8000   27.4000  118.1000   26.0000    3.6942
  115.7000   27.9000  118.1000   26.0000    3.7599
  116.3000   26.3000  118.1000   26.0000    3.7216
  116.2000   23.8000  118.1000   26.0000    3.7502
  116.1000   24.3000  118.1000   26.0000    3.7336
  116.2000   28.2000  118.1000   26.0000    3.7260
  117.6000   24.5000  118.1000   26.0000    3.6318
  115.8000   25.6000  118.1000   26.0000    3.7537
  116.6000   27.5000  118.1000   26.0000    3.7164
  118.4000   24.5000  118.1000   26.0000    3.7734
  119.6000   28.0000  118.1000   26.0000    3.6928
  115.6000   25.0000  118.1000   26.0000    3.8047
  119.1000   27.6000  118.1000   26.0000    3.7731
  116.1000   24.3000  119.5000   25.2000    3.7826
  117.5000   27.3000  119.5000   25.2000    3.7829
  118.9000   27.4000  119.5000   25.2000    3.7708
  118.4000   24.5000  119.5000   25.2000    3.7549
  118.1000   26.0000  119.5000   25.2000    3.7682
  117.4000   26.0000  119.5000   25.2000    3.7132
  119.5000   27.4000  119.5000   25.2000    3.7675
  116.6000   24.7000  119.5000   25.2000    3.7811
  116.6000   27.5000  119.5000   25.2000    3.7757
  115.6000   25.0000  119.5000   25.2000    3.6657
  119.1000   27.6000  119.5000   25.2000    3.7194
  116.2000   28.2000  119.5000   25.2000    3.7742
  118.0000   27.7000  119.5000   25.2000    3.7797
  117.2000   26.9000  119.5000   25.2000    3.7735
  115.8000   27.4000  119.5000   25.2000    3.8413
  118.0000   28.4000  119.5000   25.2000    3.7422
  117.6000   24.5000  119.5000   25.2000    3.7049
  116.3000   26.3000  119.5000   25.2000    3.7502
  116.6000   23.7000  119.5000   25.2000    3.8063
  115.8000   25.6000  119.5000   25.2000    3.7767
  117.1000   25.7000  119.5000   25.2000    3.7205
  115.7000   27.9000  119.5000   25.2000    3.7768
  117.4000   26.0000  119.4000   26.0000    3.7934
  116.3000   26.3000  119.4000   26.0000    3.7869
  116.6000   27.5000  119.4000   26.0000    3.7787
  117.5000   27.3000  119.4000   26.0000    3.7480
  117.3000   24.4000  119.4000   26.0000    3.7605
  115.7000   27.9000  119.4000   26.0000    3.7662
  117.2000   26.9000  119.4000   26.0000    3.7520
  115.8000   25.6000  119.4000   26.0000    3.7425
  116.1000   24.3000  119.4000   26.0000    3.7485
  119.1000   27.6000  119.4000   26.0000    3.7753
  118.0000   28.4000  119.4000   26.0000    3.7584
  117.2000   26.4000  119.4000   26.0000    3.7803
  116.2000   28.2000  119.4000   26.0000    3.7409
  118.6000   24.9000  119.4000   26.0000    3.8007
  116.6000   24.7000  119.4000   26.0000    3.7074
  118.2000   25.3000  119.4000   26.0000    3.8059
  117.5000   25.0000  119.4000   26.0000    3.7288
  119.0000   25.0000  119.4000   26.0000    3.9283
  118.0000   27.7000  119.4000   26.0000    3.7238
  118.2000   26.6000  119.4000   26.0000    3.8211
  119.5000   27.4000  119.4000   26.0000    3.7462
  118.5000   27.9000  119.4000   26.0000    3.7664
  118.9000   27.4000  119.4000   26.0000    3.7368
  116.2000   23.8000  119.4000   26.0000    3.7695
  118.4000   24.5000  119.4000   26.0000    3.7919
  117.1000   25.7000  119.4000   26.0000    3.7963
  115.7000   27.9000  119.6000   26.7000    3.7754
  118.0000   28.4000  119.6000   26.7000    3.6847
  116.2000   23.8000  119.6000   26.7000    3.7351
  117.1000   25.7000  119.6000   26.7000    3.7439
  118.0000   27.7000  119.6000   26.7000    3.6716
  119.5000   25.2000  119.6000   26.7000    3.7671
  117.6000   24.5000  119.6000   26.7000    3.8793
  118.5000   27.9000  119.6000   26.7000    3.6631
  117.2000   26.9000  119.6000   26.7000    3.8262
  117.3000   24.4000  119.6000   26.7000    3.7908
  116.6000   23.7000  119.6000   26.7000    3.7717
  116.6000   27.5000  119.6000   26.7000    3.7643
  116.2000   28.2000  119.6000   26.7000    3.7913
  116.3000   26.3000  119.6000   26.7000    3.7456
  116.1000   24.3000  119.6000   26.7000    3.7412
  115.8000   25.6000  119.6000   26.7000    3.7071
  118.1000   26.0000  119.6000   26.7000    3.6834
  118.4000   24.5000  119.6000   26.7000    3.7927
  118.6000   24.9000  119.6000   26.7000    3.7714
  117.4000   26.0000  119.6000   26.7000    3.7190
  115.8000   27.4000  119.6000   26.7000    3.7688
  119.1000   27.6000  119.6000   26.7000    3.7432
  119.0000   25.4000  119.6000   26.7000    3.7801
  119.8000   25.5000  119.6000   26.7000    3.7664
  118.2000   26.6000  119.6000   26.7000    3.8890
  118.2000   25.3000  119.6000   26.7000    3.7390
  118.9000   27.4000  119.6000   26.7000    3.8150
  116.6000   24.7000  119.6000   26.7000    3.7062
  115.6000   25.0000  119.6000   26.7000    3.8086
  117.5000   27.3000  119.6000   26.7000    3.7769
  116.5000   25.0000  119.6000   26.7000    3.6994
  118.0000   27.7000  119.0000   25.0000    3.7819
  116.2000   23.8000  119.0000   25.0000    3.7820
  117.5000   27.3000  119.0000   25.0000    3.7553
  118.5000   27.9000  119.0000   25.0000    3.7799
  116.6000   24.7000  119.0000   25.0000    3.7918
  115.6000   25.0000  119.0000   25.0000    3.8057
  115.7000   27.9000  119.0000   25.0000    3.7752
  117.3000   24.4000  119.0000   25.0000    3.7469
  117.4000   26.0000  119.0000   25.0000    3.7714
  118.9000   27.4000  119.0000   25.0000    3.7487
  119.5000   27.4000  119.0000   25.0000    3.8024
  118.2000   26.6000  119.0000   25.0000    3.7176
  115.8000   27.4000  119.0000   25.0000    3.7658
  118.9000   26.4000  119.0000   25.0000    3.8692
  118.1000   26.0000  119.0000   25.0000    3.7836
  116.6000   23.7000  119.0000   25.0000    3.7933
  115.8000   25.6000  119.0000   25.0000    3.7472
  116.2000   28.2000  119.0000   25.0000    3.7580
  116.6000   27.5000  119.0000   25.0000    3.7550
  119.9000   26.4000  119.0000   25.0000    3.7975
  117.1000   25.7000  119.0000   25.0000    3.7349
  117.2000   26.4000  119.0000   25.0000    3.7578
  119.6000   26.7000  119.0000   25.0000    3.7821
  116.1000   24.3000  119.0000   25.0000    3.7591
  116.3000   26.3000  119.0000   25.0000    3.7755
  119.1000   27.6000  119.0000   25.0000    3.7721
  118.0000   28.4000  119.0000   25.0000    3.7605
  117.2000   26.9000  119.0000   25.0000    3.7673
  118.1000   26.0000  116.5000   25.0000    3.8117
  116.2000   23.8000  116.5000   25.0000    3.8041
  116.3000   26.3000  116.5000   25.0000    3.8966
