   627    3.8555    0.0890       032
  120.4000   23.9000  119.9000   26.2000    3.7135
  115.8000   27.4000  116.2000   23.8000    3.9556
  115.6000   25.0000  116.2000   23.8000    3.6930
  116.6000   27.5000  116.2000   23.8000    3.8613
  119.1000   27.6000  116.2000   23.8000    3.8337
  116.3000   26.3000  116.2000   23.8000    3.9039
  115.7000   27.9000  116.2000   23.8000    3.8153
  115.8000   25.6000  116.2000   23.8000    3.8226
  116.2000   28.2000  116.2000   23.8000    3.7885
  118.4000   24.5000  116.2000   23.8000    3.8548
  116.3000   26.3000  116.6000   24.7000    3.8069
  115.8000   27.4000  116.6000   24.7000    3.6990
  115.8000   25.6000  116.6000   24.7000    3.8334
  116.2000   28.2000  116.6000   24.7000    3.8546
  118.9000   27.4000  116.6000   24.7000    3.9074
  118.1000   26.0000  116.6000   24.7000    3.8099
  119.6000   28.0000  116.6000   24.7000    4.0813
  119.1000   27.6000  116.6000   24.7000    3.9038
  118.0000   28.4000  116.6000   24.7000    3.8398
  118.4000   24.5000  116.6000   24.7000    3.8799
  115.7000   27.9000  116.6000   24.7000    3.8463
  116.5000   25.0000  118.9000   26.4000    3.6687
  115.8000   27.4000  118.9000   26.4000    3.9114
  116.6000   23.7000  118.9000   26.4000    3.8710
  118.6000   24.9000  118.9000   26.4000    3.9064
  117.4000   26.0000  118.9000   26.4000    3.8909
  116.6000   27.5000  118.9000   26.4000    3.8354
  116.2000   28.2000  118.9000   26.4000    3.8509
  119.5000   27.4000  118.9000   26.4000    4.0497
  117.3000   24.4000  118.9000   26.4000    3.7313
  115.7000   27.9000  118.9000   26.4000    3.8482
  118.0000   28.4000  118.9000   26.4000    3.8323
  118.5000   27.9000  118.9000   26.4000    3.8408
  119.1000   27.6000  118.9000   26.4000    3.8703
  117.1000   25.7000  118.9000   26.4000    3.7877
  117.5000   27.3000  118.9000   26.4000    3.8125
  116.1000   24.3000  118.9000   26.4000    3.8130
  117.2000   26.4000  118.9000   26.4000    3.8365
  118.0000   27.7000  118.9000   26.4000    3.8150
  119.5000   25.2000  118.9000   26.4000    3.7058
  119.6000   28.0000  118.9000   26.4000    3.7742
  118.4000   24.5000  118.9000   26.4000    3.9502
  115.8000   25.6000  118.9000   26.4000    3.9085
  117.6000   24.5000  118.9000   26.4000    3.8881
  116.3000   26.3000  118.9000   26.4000    3.8996
  116.6000   24.7000  118.9000   26.4000    3.8529
  118.0000   27.7000  119.8000   25.5000    3.7083
  117.1000   25.7000  119.8000   25.5000    4.0964
  118.0000   28.4000  119.8000   25.5000    3.8699
  116.6000   23.7000  119.8000   25.5000    3.7550
  118.9000   27.4000  119.8000   25.5000    3.8736
  119.6000   28.0000  119.8000   25.5000    3.9347
  117.5000   27.3000  119.8000   25.5000    3.7898
  116.1000   24.3000  118.2000   25.3000    3.8332
  116.6000   27.5000  118.2000   25.3000    3.7843
  116.6000   23.7000  118.2000   25.3000    3.8813
  116.6000   24.7000  118.2000   25.3000    3.7229
  118.0000   28.4000  118.2000   25.3000    3.8415
  119.1000   27.6000  118.2000   25.3000    3.9322
  115.8000   25.6000  118.2000   25.3000    3.8078
  115.7000   27.9000  118.2000   25.3000    3.8379
  116.2000   28.2000  118.2000   25.3000    3.8651
  118.9000   27.4000  118.2000   25.3000    3.8748
  116.2000   23.8000  118.2000   25.3000    3.9385
  116.3000   26.3000  118.2000   25.3000    3.7695
  115.8000   27.4000  118.2000   25.3000    3.8464
  120.4000   23.9000  118.4000   24.5000    3.7852
  119.1000   27.6000  118.4000   24.5000    3.9354
  119.9000   26.2000  118.4000   24.5000    4.0912
  118.0000   28.4000  117.3000   24.4000    3.8235
  115.7000   27.9000  117.3000   24.4000    3.8003
  118.0000   27.7000  117.3000   24.4000    3.9586
  117.5000   27.3000  117.3000   24.4000    3.9091
  117.4000   26.0000  117.3000   24.4000    3.8416
  116.3000   26.3000  117.3000   24.4000    3.7962
  118.6000   24.9000  117.3000   24.4000    4.0791
  116.6000   27.5000  117.3000   24.4000    3.8486
  116.2000   28.2000  117.3000   24.4000    3.8237
  117.2000   26.9000  117.3000   24.4000    3.8908
  118.9000   27.4000  117.3000   24.4000    3.8330
  115.8000   27.4000  117.3000   24.4000    4.0133
  119.5000   27.4000  117.3000   24.4000    3.8253
  118.1000   26.0000  117.3000   24.4000    3.9099
  115.6000   25.0000  117.3000   24.4000    3.6949
  117.1000   25.7000  117.3000   24.4000    3.7820
  115.8000   25.6000  117.3000   24.4000    3.7587
  119.5000   25.2000  117.3000   24.4000    3.9246
  115.6000   25.0000  116.6000   27.5000    4.0975
  116.3000   26.3000  116.6000   27.5000    3.9224
  119.1000   27.6000  116.6000   27.5000    3.9204
  118.0000   28.4000  116.6000   27.5000    3.8082
  118.4000   24.5000  116.6000   27.5000    3.8512
  118.0000   28.4000  118.1000   26.0000    3.8239
  118.9000   27.4000  118.1000   26.0000    3.9395
  116.6000   23.7000  118.1000   26.0000    3.8950
  115.8000   27.4000  118.1000   26.0000    3.7178
  115.7000   27.9000  118.1000   26.0000    3.8513
  116.3000   26.3000  118.1000   26.0000    3.8680
  116.2000   23.8000  118.1000   26.0000    3.9699
  116.1000   24.3000  118.1000   26.0000    3.8140
  116.2000   28.2000  118.1000   26.0000    3.8037
  117.6000   24.5000  118.1000   26.0000    3.7075
  115.8000   25.6000  118.1000   26.0000    3.8481
  116.6000   27.5000  118.1000   26.0000    3.7895
  118.4000   24.5000  118.1000   26.0000    3.8633
  119.6000   28.0000  118.1000   26.0000    3.7655
  115.6000   25.0000  118.1000   26.0000    3.9973
  119.1000   27.6000  118.1000   26.0000    3.9400
  116.1000   24.3000  119.5000   25.2000    3.8637
  117.5000   27.3000  119.5000   25.2000    3.8646
  118.9000   27.4000  119.5000   25.2000    3.8404
  118.4000   24.5000  119.5000   25.2000    3.7885
  117.4000   26.0000  119.5000   25.2000    3.7769
  119.5000   27.4000  119.5000   25.2000    3.8141
  116.6000   24.7000  119.5000   25.2000    3.8471
  116.6000   27.5000  119.5000   25.2000    3.8806
  115.6000   25.0000  119.5000   25.2000    3.6449
  119.1000   27.6000  119.5000   25.2000    3.8079
  116.2000   28.2000  119.5000   25.2000    3.8410
  118.0000   27.7000  119.5000   25.2000    3.8521
  118.0000   28.4000  119.5000   25.2000    3.8431
  117.6000   24.5000  119.5000   25.2000    3.6511
  116.3000   26.3000  119.5000   25.2000    3.8381
  116.6000   23.7000  119.5000   25.2000    3.8703
  115.8000   25.6000  119.5000   25.2000    3.9502
  117.1000   25.7000  119.5000   25.2000    3.7604
  115.7000   27.9000  119.5000   25.2000    3.8449
  117.4000   26.0000  119.4000   26.0000    3.8859
  116.3000   26.3000  119.4000   26.0000    3.9002
  116.6000   27.5000  119.4000   26.0000    3.8620
  117.5000   27.3000  119.4000   26.0000    3.8185
  117.3000   24.4000  119.4000   26.0000    3.7641
  117.2000   26.9000  119.4000   26.0000    3.8324
  115.8000   25.6000  119.4000   26.0000    3.8091
  116.1000   24.3000  119.4000   26.0000    3.8522
  119.1000   27.6000  119.4000   26.0000    3.8056
  118.0000   28.4000  119.4000   26.0000    3.8580
  117.2000   26.4000  119.4000   26.0000    3.8721
  116.2000   28.2000  119.4000   26.0000    3.8357
  118.6000   24.9000  119.4000   26.0000    3.8927
  116.6000   24.7000  119.4000   26.0000    3.8349
  118.2000   25.3000  119.4000   26.0000    3.8848
  117.5000   25.0000  119.4000   26.0000    3.8168
  119.0000   25.0000  119.4000   26.0000    4.0841
  118.0000   27.7000  119.4000   26.0000    3.7849
  118.2000   26.6000  119.4000   26.0000    3.9999
  119.5000   27.4000  119.4000   26.0000    3.8369
  118.5000   27.9000  119.4000   26.0000    3.7950
  118.9000   27.4000  119.4000   26.0000    3.8586
  116.2000   23.8000  119.4000   26.0000    3.8616
  118.4000   24.5000  119.4000   26.0000    3.9086
  117.1000   25.7000  119.4000   26.0000    3.8909
  115.7000   27.9000  119.6000   26.7000    3.8769
  118.0000   28.4000  119.6000   26.7000    3.7555
  116.2000   23.8000  119.6000   26.7000    3.8095
  117.1000   25.7000  119.6000   26.7000    3.8280
  118.0000   27.7000  119.6000   26.7000    3.7405
  119.5000   25.2000  119.6000   26.7000    3.7578
  118.5000   27.9000  119.6000   26.7000    3.7532
  117.2000   26.9000  119.6000   26.7000    3.8868
  117.3000   24.4000  119.6000   26.7000    3.9606
  116.6000   23.7000  119.6000   26.7000    3.9065
  116.6000   27.5000  119.6000   26.7000    3.8472
  116.2000   28.2000  119.6000   26.7000    3.8855
  116.3000   26.3000  119.6000   26.7000    3.8077
  116.1000   24.3000  119.6000   26.7000    3.8448
  115.8000   25.6000  119.6000   26.7000    3.8195
  118.1000   26.0000  119.6000   26.7000    3.7013
  118.4000   24.5000  119.6000   26.7000    3.9342
  118.6000   24.9000  119.6000   26.7000    3.9021
  117.4000   26.0000  119.6000   26.7000    3.7836
  115.8000   27.4000  119.6000   26.7000    3.8307
  119.1000   27.6000  119.6000   26.7000    3.9731
  119.0000   25.4000  119.6000   26.7000    3.9049
  119.8000   25.5000  119.6000   26.7000    3.6734
  118.2000   26.6000  119.6000   26.7000    4.0986
  118.2000   25.3000  119.6000   26.7000    3.7684
  118.9000   27.4000  119.6000   26.7000    4.0507
  116.6000   24.7000  119.6000   26.7000    3.7795
  115.6000   25.0000  119.6000   26.7000    4.0583
  117.5000   27.3000  119.6000   26.7000    3.8449
  118.0000   27.7000  119.0000   25.0000    3.8868
  117.5000   27.3000  119.0000   25.0000    3.8268
  118.5000   27.9000  119.0000   25.0000    3.8236
  116.6000   24.7000  119.0000   25.0000    3.8476
  115.6000   25.0000  119.0000   25.0000    3.9416
  115.7000   27.9000  119.0000   25.0000    3.8772
  117.3000   24.4000  119.0000   25.0000    3.8054
  117.4000   26.0000  119.0000   25.0000    3.8371
  118.9000   27.4000  119.0000   25.0000    3.8747
  119.5000   27.4000  119.0000   25.0000    3.9187
  118.2000   26.6000  119.0000   25.0000    3.7642
  115.8000   27.4000  119.0000   25.0000    3.8786
  118.9000   26.4000  119.0000   25.0000    3.8562
  118.1000   26.0000  119.0000   25.0000    3.8952
  116.6000   23.7000  119.0000   25.0000    3.8389
  115.8000   25.6000  119.0000   25.0000    3.8475
  116.2000   28.2000  119.0000   25.0000    3.8676
  116.6000   27.5000  119.0000   25.0000    3.8705
  119.9000   26.4000  119.0000   25.0000    3.9766
  117.1000   25.7000  119.0000   25.0000    3.8167
  117.2000   26.4000  119.0000   25.0000    3.8282
  119.6000   26.7000  119.0000   25.0000    3.8794
  116.1000   24.3000  119.0000   25.0000    3.8784
  116.3000   26.3000  119.0000   25.0000    3.8270
  119.1000   27.6000  119.0000   25.0000    3.8445
  118.0000   28.4000  119.0000   25.0000    3.8574
  118.1000   26.0000  116.5000   25.0000    4.1173
  116.2000   23.8000  116.5000   25.0000    3.9649
  115.8000   27.4000  116.5000   25.0000    3.9634
  117.4000   26.0000  116.5000   25.0000    3.6568
  115.8000   25.6000  116.5000   25.0000    4.1105
  118.9000   27.4000  116.5000   25.0000    3.6969
  118.0000   28.4000  118.9000   27.4000    3.7184
  115.8000   25.6000  118.9000   27.4000    3.7882
  115.8000   27.4000  118.9000   27.4000    3.6565
  116.3000   26.3000  118.9000   27.4000    3.8273
  116.1000   24.3000  118.9000   27.4000    3.8250
  116.6000   23.7000  118.9000   27.4000    3.8426
  117.6000   24.5000  118.9000   27.4000    3.6955
  118.4000   24.5000  118.9000   27.4000    3.9238
  116.2000   23.8000  118.9000   27.4000    3.8196
  116.6000   27.5000  118.9000   27.4000    3.9187
  116.6000   27.5000  117.6000   24.5000    3.9566
  115.8000   27.4000  117.6000   24.5000    4.0436
  115.7000   27.9000  117.6000   24.5000    3.7410
  116.3000   26.3000  117.6000   24.5000    3.6669
  118.2000   25.3000  117.4000   26.0000    4.0126
  116.1000   24.3000  117.4000   26.0000    3.7947
  116.2000   28.2000  117.4000   26.0000    3.7953
  116.6000   27.5000  117.4000   26.0000    3.7329
  116.2000   23.8000  117.4000   26.0000    3.7559
  116.6000   23.7000  117.4000   26.0000    3.8312
  116.6000   24.7000  117.4000   26.0000    3.7615
  115.8000   25.6000  117.4000   26.0000    3.8371
  118.4000   24.5000  117.4000   26.0000    3.7989
  118.9000   27.4000  117.4000   26.0000    3.7875
  119.1000   27.6000  117.4000   26.0000    3.7658
