   870    3.3230    0.0348       012
  115.8000   27.4000  116.2000   23.8000    3.3030
  115.6000   25.0000  116.2000   23.8000    3.2536
  119.6000   28.0000  116.2000   23.8000    3.3073
  116.6000   27.5000  116.2000   23.8000    3.3057
  119.1000   27.6000  116.2000   23.8000    3.2970
  116.3000   26.3000  116.2000   23.8000    3.3128
  115.7000   27.9000  116.2000   23.8000    3.2943
  118.0000   28.4000  116.2000   23.8000    3.2878
  115.8000   25.6000  116.2000   23.8000    3.2728
  116.2000   28.2000  116.2000   23.8000    3.2991
  118.4000   24.5000  116.2000   23.8000    3.3315
  117.6000   24.5000  116.6000   24.7000    3.3562
  116.3000   26.3000  116.6000   24.7000    3.3244
  115.8000   27.4000  116.6000   24.7000    3.3201
  115.8000   25.6000  116.6000   24.7000    3.2621
  116.2000   28.2000  116.6000   24.7000    3.3119
  118.9000   27.4000  116.6000   24.7000    3.3403
  118.1000   26.0000  116.6000   24.7000    3.2894
  119.6000   28.0000  116.6000   24.7000    3.3263
  116.6000   23.7000  116.6000   24.7000    3.3779
  119.1000   27.6000  116.6000   24.7000    3.3452
  118.0000   28.4000  116.6000   24.7000    3.2730
  116.2000   23.8000  116.6000   24.7000    3.2833
  115.6000   25.0000  116.6000   24.7000    3.3571
  118.4000   24.5000  116.6000   24.7000    3.3308
  115.7000   27.9000  116.6000   24.7000    3.2978
  116.5000   25.0000  118.9000   26.4000    3.2910
  115.8000   27.4000  118.9000   26.4000    3.3163
  116.6000   23.7000  118.9000   26.4000    3.3260
  118.2000   26.6000  118.9000   26.4000    3.3808
  115.6000   25.0000  118.9000   26.4000    3.3136
  118.6000   24.9000  118.9000   26.4000    3.3228
  118.1000   26.0000  118.9000   26.4000    3.3735
  117.2000   26.9000  118.9000   26.4000    3.2828
  117.4000   26.0000  118.9000   26.4000    3.3899
  116.6000   27.5000  118.9000   26.4000    3.3118
  116.2000   28.2000  118.9000   26.4000    3.3350
  119.5000   27.4000  118.9000   26.4000    3.3753
  117.3000   24.4000  118.9000   26.4000    3.3250
  115.7000   27.9000  118.9000   26.4000    3.3167
  116.2000   23.8000  118.9000   26.4000    3.3195
  118.0000   28.4000  118.9000   26.4000    3.3064
  118.5000   27.9000  118.9000   26.4000    3.3771
  119.6000   26.7000  118.9000   26.4000    3.2418
  119.1000   27.6000  118.9000   26.4000    3.3038
  118.9000   27.4000  118.9000   26.4000    3.3838
  117.1000   25.7000  118.9000   26.4000    3.3260
  118.2000   25.3000  118.9000   26.4000    3.3690
  117.5000   27.3000  118.9000   26.4000    3.3390
  116.1000   24.3000  118.9000   26.4000    3.2893
  117.2000   26.4000  118.9000   26.4000    3.3436
  118.0000   27.7000  118.9000   26.4000    3.3116
  119.5000   25.2000  118.9000   26.4000    3.3605
  119.6000   28.0000  118.9000   26.4000    3.3089
  118.4000   24.5000  118.9000   26.4000    3.3526
  115.8000   25.6000  118.9000   26.4000    3.3372
  117.6000   24.5000  118.9000   26.4000    3.3702
  116.3000   26.3000  118.9000   26.4000    3.3155
