   873    3.4569    0.0419       016
  120.4000   23.9000  119.9000   26.2000    3.4015
  115.8000   27.4000  116.2000   23.8000    3.4299
  115.6000   25.0000  116.2000   23.8000    3.3686
  119.6000   28.0000  116.2000   23.8000    3.4402
  116.6000   27.5000  116.2000   23.8000    3.4531
  119.1000   27.6000  116.2000   23.8000    3.4410
  116.3000   26.3000  116.2000   23.8000    3.4868
  115.7000   27.9000  116.2000   23.8000    3.4483
  116.1000   24.3000  116.2000   23.8000    3.5094
  118.0000   28.4000  116.2000   23.8000    3.4235
  115.8000   25.6000  116.2000   23.8000    3.4142
  116.2000   28.2000  116.2000   23.8000    3.4480
  118.4000   24.5000  116.2000   23.8000    3.4556
  116.3000   26.3000  116.6000   24.7000    3.4535
  115.8000   27.4000  116.6000   24.7000    3.4482
  115.8000   25.6000  116.6000   24.7000    3.4090
  116.1000   24.3000  116.6000   24.7000    3.4477
  116.2000   28.2000  116.6000   24.7000    3.4579
  118.9000   27.4000  116.6000   24.7000    3.4573
  118.1000   26.0000  116.6000   24.7000    3.4373
  119.6000   28.0000  116.6000   24.7000    3.4463
  116.6000   23.7000  116.6000   24.7000    3.5569
  119.1000   27.6000  116.6000   24.7000    3.4599
  118.0000   28.4000  116.6000   24.7000    3.4204
  116.2000   23.8000  116.6000   24.7000    3.4079
  115.6000   25.0000  116.6000   24.7000    3.4587
  118.4000   24.5000  116.6000   24.7000    3.4693
  115.7000   27.9000  116.6000   24.7000    3.4251
  116.5000   25.0000  118.9000   26.4000    3.4096
  115.8000   27.4000  118.9000   26.4000    3.4483
  116.6000   23.7000  118.9000   26.4000    3.4599
  115.6000   25.0000  118.9000   26.4000    3.4158
  118.6000   24.9000  118.9000   26.4000    3.4718
  118.1000   26.0000  118.9000   26.4000    3.5732
  117.2000   26.9000  118.9000   26.4000    3.4196
  117.4000   26.0000  118.9000   26.4000    3.4964
  119.8000   25.5000  118.9000   26.4000    3.5170
  116.6000   27.5000  118.9000   26.4000    3.4613
  116.2000   28.2000  118.9000   26.4000    3.4666
  119.5000   27.4000  118.9000   26.4000    3.4914
