   826    3.6007    0.0450       020
  120.4000   23.9000  119.9000   26.2000    3.5828
  115.8000   27.4000  116.2000   23.8000    3.5957
  115.6000   25.0000  116.2000   23.8000    3.5296
  119.6000   28.0000  116.2000   23.8000    3.5860
  116.6000   27.5000  116.2000   23.8000    3.6016
  119.1000   27.6000  116.2000   23.8000    3.5712
  116.3000   26.3000  116.2000   23.8000    3.6370
  115.7000   27.9000  116.2000   23.8000    3.6098
  118.0000   28.4000  116.2000   23.8000    3.5727
  115.8000   25.6000  116.2000   23.8000    3.5671
  116.2000   28.2000  116.2000   23.8000    3.5908
  118.4000   24.5000  116.2000   23.8000    3.5909
  116.3000   26.3000  116.6000   24.7000    3.5870
  115.8000   27.4000  116.6000   24.7000    3.6008
  115.8000   25.6000  116.6000   24.7000    3.5607
  116.2000   28.2000  116.6000   24.7000    3.6082
  118.9000   27.4000  116.6000   24.7000    3.5758
  118.1000   26.0000  116.6000   24.7000    3.5648
  119.6000   28.0000  116.6000   24.7000    3.5807
  116.6000   23.7000  116.6000   24.7000    3.7535
  119.1000   27.6000  116.6000   24.7000    3.5774
  118.0000   28.4000  116.6000   24.7000    3.5669
  116.2000   23.8000  116.6000   24.7000    3.6598
  115.6000   25.0000  116.6000   24.7000    3.6227
  118.4000   24.5000  116.6000   24.7000    3.5897
  115.7000   27.9000  116.6000   24.7000    3.5791
  116.5000   25.0000  118.9000   26.4000    3.5455
  115.8000   27.4000  118.9000   26.4000    3.6164
  116.6000   23.7000  118.9000   26.4000    3.6000
  115.6000   25.0000  118.9000   26.4000    3.5509
  118.6000   24.9000  118.9000   26.4000    3.6133
  117.2000   26.9000  118.9000   26.4000    3.6046
  117.4000   26.0000  118.9000   26.4000    3.6407
  119.8000   25.5000  118.9000   26.4000    3.6734
  116.6000   27.5000  118.9000   26.4000    3.6106
  116.2000   28.2000  118.9000   26.4000    3.5949
  119.5000   27.4000  118.9000   26.4000    3.6317
  117.3000   24.4000  118.9000   26.4000    3.5867
  115.7000   27.9000  118.9000   26.4000    3.6172
  116.2000   23.8000  118.9000   26.4000    3.5984
  118.0000   28.4000  118.9000   26.4000    3.5741
  118.5000   27.9000  118.9000   26.4000    3.5881
  119.1000   27.6000  118.9000   26.4000    3.5674
  117.1000   25.7000  118.9000   26.4000    3.5685
  118.2000   25.3000  118.9000   26.4000    3.5973
  117.5000   27.3000  118.9000   26.4000    3.6019
  116.1000   24.3000  118.9000   26.4000    3.5672
  117.2000   26.4000  118.9000   26.4000    3.6951
  118.0000   27.7000  118.9000   26.4000    3.5756
  119.5000   25.2000  118.9000   26.4000    3.5527
  119.6000   28.0000  118.9000   26.4000    3.5394
  118.4000   24.5000  118.9000   26.4000    3.6465
  115.8000   25.6000  118.9000   26.4000    3.5862
  117.6000   24.5000  118.9000   26.4000    3.5775
  116.3000   26.3000  118.9000   26.4000    3.6108
  116.6000   24.7000  118.9000   26.4000    3.5816
  115.6000   25.0000  119.8000   25.5000    3.5796
  119.5000   27.4000  119.8000   25.5000    3.5612
  118.0000   27.7000  119.8000   25.5000    3.5612
  116.3000   26.3000  119.8000   25.5000    3.5561
  117.2000   26.9000  119.8000   25.5000    3.6618
  119.1000   27.6000  119.8000   25.5000    3.6716
  117.6000   24.5000  119.8000   25.5000    3.6175
  117.4000   26.0000  119.8000   25.5000    3.7397
  115.7000   27.9000  119.8000   25.5000    3.6391
  116.6000   27.5000  119.8000   25.5000    3.5918
  117.1000   25.7000  119.8000   25.5000    3.6116
  116.1000   24.3000  119.8000   25.5000    3.6362
  118.4000   24.5000  119.8000   25.5000    3.5791
  118.0000   28.4000  119.8000   25.5000    3.6012
  118.2000   25.3000  119.8000   25.5000    3.6206
  116.6000   23.7000  119.8000   25.5000    3.6089
  118.9000   27.4000  119.8000   25.5000    3.5965
  119.6000   28.0000  119.8000   25.5000    3.6223
  116.2000   28.2000  119.8000   25.5000    3.6002
  116.2000   23.8000  119.8000   25.5000    3.5846
  117.5000   27.3000  119.8000   25.5000    3.5942
  116.1000   24.3000  118.2000   25.3000    3.5430
  116.6000   27.5000  118.2000   25.3000    3.5458
  116.6000   23.7000  118.2000   25.3000    3.6051
  116.6000   24.7000  118.2000   25.3000    3.5635
  118.0000   28.4000  118.2000   25.3000    3.6287
  119.1000   27.6000  118.2000   25.3000    3.5625
  115.8000   25.6000  118.2000   25.3000    3.6074
  115.7000   27.9000  118.2000   25.3000    3.5695
  116.2000   28.2000  118.2000   25.3000    3.5785
  117.6000   24.5000  118.2000   25.3000    3.5892
  118.9000   27.4000  118.2000   25.3000    3.5910
  116.2000   23.8000  118.2000   25.3000    3.5988
  116.3000   26.3000  118.2000   25.3000    3.6114
  115.8000   27.4000  118.2000   25.3000    3.5829
  119.6000   28.0000  115.6000   25.0000    3.5352
  118.4000   24.5000  115.6000   25.0000    3.5821
  119.1000   27.6000  115.6000   25.0000    3.5588
  120.4000   23.9000  118.4000   24.5000    3.6334
  119.1000   27.6000  118.4000   24.5000    3.6619
  119.9000   26.2000  118.4000   24.5000    3.6383
  118.2000   25.3000  117.3000   24.4000    3.5662
