   436    3.9005    0.1023       038
  120.4000   23.9000  119.9000   26.2000    3.6660
  115.8000   27.4000  116.2000   23.8000    4.0824
  116.6000   27.5000  116.2000   23.8000    3.9074
  119.1000   27.6000  116.2000   23.8000    3.8865
  116.3000   26.3000  116.2000   23.8000    3.9588
  115.7000   27.9000  116.2000   23.8000    3.8333
  116.2000   28.2000  116.2000   23.8000    3.8361
  118.4000   24.5000  116.2000   23.8000    3.8771
  115.8000   25.6000  116.6000   24.7000    3.9162
  116.2000   28.2000  116.6000   24.7000    3.8759
  118.9000   27.4000  116.6000   24.7000    4.0286
  118.1000   26.0000  116.6000   24.7000    3.8693
  118.4000   24.5000  116.6000   24.7000    3.9978
  115.7000   27.9000  116.6000   24.7000    3.8713
  115.8000   27.4000  118.9000   26.4000    3.9791
  116.6000   23.7000  118.9000   26.4000    3.8512
  116.6000   27.5000  118.9000   26.4000    3.8691
  116.2000   28.2000  118.9000   26.4000    3.8912
  117.3000   24.4000  118.9000   26.4000    3.6894
  118.0000   28.4000  118.9000   26.4000    3.8242
  117.1000   25.7000  118.9000   26.4000    3.7605
  116.1000   24.3000  118.9000   26.4000    3.8903
  119.6000   28.0000  118.9000   26.4000    4.0519
  118.4000   24.5000  118.9000   26.4000    4.0337
  115.8000   25.6000  118.9000   26.4000    3.9806
  117.6000   24.5000  118.9000   26.4000    4.0019
  116.3000   26.3000  118.9000   26.4000    3.9306
  118.0000   27.7000  119.8000   25.5000    3.7865
  118.0000   28.4000  119.8000   25.5000    4.0024
  116.6000   23.7000  119.8000   25.5000    3.7310
  119.6000   28.0000  119.8000   25.5000    4.0412
  117.5000   27.3000  119.8000   25.5000    3.7720
  116.1000   24.3000  118.2000   25.3000    3.8927
  116.6000   27.5000  118.2000   25.3000    3.8320
  116.6000   23.7000  118.2000   25.3000    4.0355
  118.0000   28.4000  118.2000   25.3000    3.9007
  119.1000   27.6000  118.2000   25.3000    4.0460
  115.8000   25.6000  118.2000   25.3000    3.8967
  115.7000   27.9000  118.2000   25.3000    3.9152
  116.2000   28.2000  118.2000   25.3000    3.9614
  118.9000   27.4000  118.2000   25.3000    3.9049
  115.8000   27.4000  118.2000   25.3000    3.8980
  119.1000   27.6000  118.4000   24.5000    4.0412
  115.7000   27.9000  117.3000   24.4000    3.8941
  118.0000   27.7000  117.3000   24.4000    4.1003
  117.5000   27.3000  117.3000   24.4000    4.0459
  116.3000   26.3000  117.3000   24.4000    3.8556
  118.6000   24.9000  117.3000   24.4000    4.0953
  116.6000   27.5000  117.3000   24.4000    3.9005
  117.2000   26.9000  117.3000   24.4000    3.9966
  118.9000   27.4000  117.3000   24.4000    3.8524
  119.5000   27.4000  117.3000   24.4000    3.8939
  115.6000   25.0000  117.3000   24.4000    3.6887
  115.6000   25.0000  116.6000   27.5000    4.2006
  119.1000   27.6000  116.6000   27.5000    4.0378
  118.4000   24.5000  116.6000   27.5000    3.9019
  119.6000   28.0000  116.6000   27.5000    3.6843
  118.0000   28.4000  118.1000   26.0000    3.8645
  118.9000   27.4000  118.1000   26.0000    4.1154
  116.6000   23.7000  118.1000   26.0000    4.0057
  115.8000   27.4000  118.1000   26.0000    3.7536
  115.7000   27.9000  118.1000   26.0000    3.8685
  116.3000   26.3000  118.1000   26.0000    4.0046
  116.1000   24.3000  118.1000   26.0000    3.8645
  116.2000   28.2000  118.1000   26.0000    3.8285
  117.6000   24.5000  118.1000   26.0000    3.8868
  115.8000   25.6000  118.1000   26.0000    3.8791
  116.6000   27.5000  118.1000   26.0000    3.7952
  118.4000   24.5000  118.1000   26.0000    3.9459
  115.6000   25.0000  118.1000   26.0000    4.1490
  119.1000   27.6000  118.1000   26.0000    3.9954
  116.1000   24.3000  119.5000   25.2000    3.8922
  118.9000   27.4000  119.5000   25.2000    3.8818
  117.4000   26.0000  119.5000   25.2000    3.8000
  119.5000   27.4000  119.5000   25.2000    3.8744
  116.6000   24.7000  119.5000   25.2000    3.8643
  116.6000   27.5000  119.5000   25.2000    3.9457
  115.6000   25.0000  119.5000   25.2000    3.6623
  119.1000   27.6000  119.5000   25.2000    3.8777
  116.2000   28.2000  119.5000   25.2000    3.8490
  118.0000   27.7000  119.5000   25.2000    3.8432
  118.0000   28.4000  119.5000   25.2000    3.8882
  116.3000   26.3000  119.5000   25.2000    3.8645
  116.6000   23.7000  119.5000   25.2000    3.8951
  115.8000   25.6000  119.5000   25.2000    4.0765
  117.1000   25.7000  119.5000   25.2000    3.7452
  115.7000   27.9000  119.5000   25.2000    3.8713
  117.4000   26.0000  119.4000   26.0000    3.9198
  116.3000   26.3000  119.4000   26.0000    3.9409
  116.6000   27.5000  119.4000   26.0000    3.8771
  117.5000   27.3000  119.4000   26.0000    3.8748
  117.3000   24.4000  119.4000   26.0000    3.6893
  117.2000   26.9000  119.4000   26.0000    3.9083
  115.8000   25.6000  119.4000   26.0000    3.8708
  116.1000   24.3000  119.4000   26.0000    3.9235
  118.0000   28.4000  119.4000   26.0000    3.9146
  117.2000   26.4000  119.4000   26.0000    3.9076
  116.2000   28.2000  119.4000   26.0000    3.8800
  118.0000   27.7000  119.4000   26.0000    3.8220
  118.5000   27.9000  119.4000   26.0000    3.7536
  118.9000   27.4000  119.4000   26.0000    3.9723
  118.4000   24.5000  119.4000   26.0000    3.9865
  117.1000   25.7000  119.4000   26.0000    3.9446
  115.7000   27.9000  119.6000   26.7000    3.9294
  118.0000   28.4000  119.6000   26.7000    3.7554
  116.2000   23.8000  119.6000   26.7000    3.9315
  117.1000   25.7000  119.6000   26.7000    3.8701
  117.2000   26.9000  119.6000   26.7000    3.8653
  117.3000   24.4000  119.6000   26.7000    4.1965
  116.6000   23.7000  119.6000   26.7000    4.0625
  116.6000   27.5000  119.6000   26.7000    3.8695
  116.2000   28.2000  119.6000   26.7000    3.9136
  116.3000   26.3000  119.6000   26.7000    3.8579
  116.1000   24.3000  119.6000   26.7000    3.9010
  115.8000   25.6000  119.6000   26.7000    3.9111
  118.4000   24.5000  119.6000   26.7000    4.0898
  118.6000   24.9000  119.6000   26.7000    3.9832
  117.4000   26.0000  119.6000   26.7000    3.8277
  115.8000   27.4000  119.6000   26.7000    3.8647
  116.6000   24.7000  119.6000   26.7000    3.8497
  117.5000   27.3000  119.6000   26.7000    3.8704
  118.0000   27.7000  119.0000   25.0000    3.9480
  117.5000   27.3000  119.0000   25.0000    3.8502
  116.6000   24.7000  119.0000   25.0000    3.8422
  115.6000   25.0000  119.0000   25.0000    4.1214
  115.7000   27.9000  119.0000   25.0000    3.9296
  118.9000   27.4000  119.0000   25.0000    3.9708
  119.5000   27.4000  119.0000   25.0000    4.0204
  115.8000   27.4000  119.0000   25.0000    4.0165
  116.6000   23.7000  119.0000   25.0000    3.8486
  115.8000   25.6000  119.0000   25.0000    3.8975
  116.2000   28.2000  119.0000   25.0000    3.9258
  116.6000   27.5000  119.0000   25.0000    3.9143
  117.1000   25.7000  119.0000   25.0000    3.8765
  117.2000   26.4000  119.0000   25.0000    3.8531
  119.6000   26.7000  119.0000   25.0000    3.9223
  116.1000   24.3000  119.0000   25.0000    3.9546
  116.3000   26.3000  119.0000   25.0000    3.8151
  119.1000   27.6000  119.0000   25.0000    3.9210
  118.0000   28.4000  119.0000   25.0000    3.9146
  115.8000   27.4000  116.5000   25.0000    4.0873
  117.4000   26.0000  116.5000   25.0000    3.6562
  118.9000   27.4000  116.5000   25.0000    3.7586
  115.8000   25.6000  118.9000   27.4000    3.8050
  115.8000   27.4000  118.9000   27.4000    3.6351
  116.3000   26.3000  118.9000   27.4000    3.8364
  116.1000   24.3000  118.9000   27.4000    3.8716
  116.6000   23.7000  118.9000   27.4000    3.9017
  117.6000   24.5000  118.9000   27.4000    3.6594
  118.4000   24.5000  118.9000   27.4000    4.0189
  116.2000   23.8000  118.9000   27.4000    3.8234
  116.6000   27.5000  118.9000   27.4000    3.9540
  116.2000   28.2000  117.6000   24.5000    3.8754
  115.7000   27.9000  117.6000   24.5000    3.8952
  116.1000   24.3000  117.4000   26.0000    3.8137
  116.2000   28.2000  117.4000   26.0000    3.8248
  116.6000   27.5000  117.4000   26.0000    3.8051
  116.2000   23.8000  117.4000   26.0000    3.7553
  116.6000   23.7000  117.4000   26.0000    3.9313
  118.4000   24.5000  117.4000   26.0000    3.8787
  118.9000   27.4000  117.4000   26.0000    3.8796
  119.1000   27.6000  117.4000   26.0000    3.7906
  115.7000   27.9000  117.4000   26.0000    3.8773
  118.0000   28.4000  117.4000   26.0000    4.0260
  115.8000   27.4000  117.4000   26.0000    3.7110
  118.4000   24.5000  118.7000   26.4000    3.7450
  117.5000   25.0000  118.7000   26.4000    4.2000
  115.8000   27.4000  118.7000   26.4000    3.8256
  116.6000   24.7000  118.7000   26.4000    3.8266
  119.0000   25.4000  118.7000   26.4000    4.1179
  118.0000   27.7000  118.7000   26.4000    3.8247
  118.0000   28.4000  118.7000   26.4000    3.9174
  118.4000   24.5000  117.1000   25.7000    3.8787
  118.9000   27.4000  117.1000   25.7000    3.9404
  119.1000   27.6000  117.1000   25.7000    3.9584
  116.2000   28.2000  117.1000   25.7000    3.8519
  118.0000   28.4000  117.1000   25.7000    3.9577
  115.8000   27.4000  117.1000   25.7000    3.7183
  119.6000   28.0000  117.1000   25.7000    4.1782
  116.6000   23.7000  117.1000   25.7000    4.0274
  118.4000   24.5000  118.0000   28.4000    3.9225
  118.1000   26.0000  118.0000   27.7000    3.8108
  118.2000   25.3000  118.0000   27.7000    3.9787
  116.6000   23.7000  118.0000   27.7000    3.8638
