   762    3.7180    0.0539       024
  120.4000   23.9000  119.9000   26.2000    3.6909
  115.8000   27.4000  116.2000   23.8000    3.7526
  115.6000   25.0000  116.2000   23.8000    3.6544
  116.6000   27.5000  116.2000   23.8000    3.7201
  119.1000   27.6000  116.2000   23.8000    3.6871
  116.3000   26.3000  116.2000   23.8000    3.7533
  115.7000   27.9000  116.2000   23.8000    3.7197
  118.0000   28.4000  116.2000   23.8000    3.7025
  115.8000   25.6000  116.2000   23.8000    3.6987
  116.2000   28.2000  116.2000   23.8000    3.6957
  118.4000   24.5000  116.2000   23.8000    3.7202
  116.3000   26.3000  116.6000   24.7000    3.6929
  115.8000   27.4000  116.6000   24.7000    3.7013
  115.8000   25.6000  116.6000   24.7000    3.6888
  116.2000   28.2000  116.6000   24.7000    3.7225
  118.9000   27.4000  116.6000   24.7000    3.6940
  118.1000   26.0000  116.6000   24.7000    3.6643
  119.6000   28.0000  116.6000   24.7000    3.7336
  116.6000   23.7000  116.6000   24.7000    3.9047
  119.1000   27.6000  116.6000   24.7000    3.6928
  118.0000   28.4000  116.6000   24.7000    3.6964
  115.6000   25.0000  116.6000   24.7000    3.8505
  118.4000   24.5000  116.6000   24.7000    3.7012
  115.7000   27.9000  116.6000   24.7000    3.7099
  116.5000   25.0000  118.9000   26.4000    3.6371
  115.8000   27.4000  118.9000   26.4000    3.7468
  116.6000   23.7000  118.9000   26.4000    3.7327
  118.6000   24.9000  118.9000   26.4000    3.7310
  117.2000   26.9000  118.9000   26.4000    3.7248
  117.4000   26.0000  118.9000   26.4000    3.7733
  119.8000   25.5000  118.9000   26.4000    3.8505
  116.6000   27.5000  118.9000   26.4000    3.7185
  116.2000   28.2000  118.9000   26.4000    3.7134
  119.5000   27.4000  118.9000   26.4000    3.7835
  117.3000   24.4000  118.9000   26.4000    3.6897
  115.7000   27.9000  118.9000   26.4000    3.7347
  116.2000   23.8000  118.9000   26.4000    3.6853
  118.0000   28.4000  118.9000   26.4000    3.7010
  118.5000   27.9000  118.9000   26.4000    3.7036
  119.1000   27.6000  118.9000   26.4000    3.6831
  117.1000   25.7000  118.9000   26.4000    3.6902
  118.2000   25.3000  118.9000   26.4000    3.7855
  117.5000   27.3000  118.9000   26.4000    3.7039
  116.1000   24.3000  118.9000   26.4000    3.6797
  117.2000   26.4000  118.9000   26.4000    3.7521
  118.0000   27.7000  118.9000   26.4000    3.6773
  119.5000   25.2000  118.9000   26.4000    3.6449
  119.6000   28.0000  118.9000   26.4000    3.6169
