   535    3.8893    0.1023       036
  120.4000   23.9000  119.9000   26.2000    3.6843
  115.8000   27.4000  116.2000   23.8000    4.0364
  115.6000   25.0000  116.2000   23.8000    3.6335
  116.6000   27.5000  116.2000   23.8000    3.8980
  119.1000   27.6000  116.2000   23.8000    3.8723
  116.3000   26.3000  116.2000   23.8000    3.9429
  115.7000   27.9000  116.2000   23.8000    3.8299
  116.2000   28.2000  116.2000   23.8000    3.8186
  118.4000   24.5000  116.2000   23.8000    3.8727
  115.8000   27.4000  116.6000   24.7000    3.6318
  115.8000   25.6000  116.6000   24.7000    3.8858
  116.2000   28.2000  116.6000   24.7000    3.8758
  118.9000   27.4000  116.6000   24.7000    3.9923
  118.1000   26.0000  116.6000   24.7000    3.8571
  118.4000   24.5000  116.6000   24.7000    3.9556
  115.7000   27.9000  116.6000   24.7000    3.8688
  116.5000   25.0000  118.9000   26.4000    3.6298
  115.8000   27.4000  118.9000   26.4000    3.9597
  116.6000   23.7000  118.9000   26.4000    3.8678
  116.6000   27.5000  118.9000   26.4000    3.8628
  116.2000   28.2000  118.9000   26.4000    3.8813
  119.5000   27.4000  118.9000   26.4000    4.1661
  117.3000   24.4000  118.9000   26.4000    3.7057
  115.7000   27.9000  118.9000   26.4000    3.8731
  118.0000   28.4000  118.9000   26.4000    3.8327
  119.1000   27.6000  118.9000   26.4000    3.9845
  117.1000   25.7000  118.9000   26.4000    3.7733
  117.5000   27.3000  118.9000   26.4000    3.8398
  116.1000   24.3000  118.9000   26.4000    3.8634
  118.0000   27.7000  118.9000   26.4000    3.8362
  119.6000   28.0000  118.9000   26.4000    3.9389
  118.4000   24.5000  118.9000   26.4000    4.0110
  115.8000   25.6000  118.9000   26.4000    3.9634
  117.6000   24.5000  118.9000   26.4000    3.9654
  116.3000   26.3000  118.9000   26.4000    3.9244
  118.0000   27.7000  119.8000   25.5000    3.7580
  118.0000   28.4000  119.8000   25.5000    3.9521
  116.6000   23.7000  119.8000   25.5000    3.7419
  118.9000   27.4000  119.8000   25.5000    4.1028
  119.6000   28.0000  119.8000   25.5000    4.0043
  117.5000   27.3000  119.8000   25.5000    3.7857
  116.1000   24.3000  118.2000   25.3000    3.8776
  116.6000   27.5000  118.2000   25.3000    3.8177
  116.6000   23.7000  118.2000   25.3000    3.9793
  118.0000   28.4000  118.2000   25.3000    3.8805
