   688    3.7983    0.0666       028
  120.4000   23.9000  119.9000   26.2000    3.7246
  115.8000   27.4000  116.2000   23.8000    3.8681
  115.6000   25.0000  116.2000   23.8000    3.7068
  116.6000   27.5000  116.2000   23.8000    3.8035
  119.1000   27.6000  116.2000   23.8000    3.7735
  116.3000   26.3000  116.2000   23.8000    3.8419
  115.7000   27.9000  116.2000   23.8000    3.7833
  115.8000   25.6000  116.2000   23.8000    3.7858
  116.2000   28.2000  116.2000   23.8000    3.7544
  118.4000   24.5000  116.2000   23.8000    3.8100
  116.3000   26.3000  116.6000   24.7000    3.7630
  115.8000   27.4000  116.6000   24.7000    3.7278
  115.8000   25.6000  116.6000   24.7000    3.7750
  116.2000   28.2000  116.6000   24.7000    3.8041
  118.9000   27.4000  116.6000   24.7000    3.8063
  118.1000   26.0000  116.6000   24.7000    3.7436
  119.6000   28.0000  116.6000   24.7000    3.9024
  119.1000   27.6000  116.6000   24.7000    3.7981
  118.0000   28.4000  116.6000   24.7000    3.7891
  118.4000   24.5000  116.6000   24.7000    3.7986
  115.7000   27.9000  116.6000   24.7000    3.7966
  116.5000   25.0000  118.9000   26.4000    3.6745
  115.8000   27.4000  118.9000   26.4000    3.8422
  116.6000   23.7000  118.9000   26.4000    3.8270
  118.6000   24.9000  118.9000   26.4000    3.8278
  117.2000   26.9000  118.9000   26.4000    3.7867
  117.4000   26.0000  118.9000   26.4000    3.8582
  119.8000   25.5000  118.9000   26.4000    4.0255
  116.6000   27.5000  118.9000   26.4000    3.7896
  116.2000   28.2000  118.9000   26.4000    3.7981
  119.5000   27.4000  118.9000   26.4000    3.9228
  117.3000   24.4000  118.9000   26.4000    3.7334
  115.7000   27.9000  118.9000   26.4000    3.8070
  116.2000   23.8000  118.9000   26.4000    3.7452
  118.0000   28.4000  118.9000   26.4000    3.7911
  118.5000   27.9000  118.9000   26.4000    3.7926
  119.1000   27.6000  118.9000   26.4000    3.7766
  117.1000   25.7000  118.9000   26.4000    3.7649
  118.2000   25.3000  118.9000   26.4000    3.9895
  117.5000   27.3000  118.9000   26.4000    3.7669
  116.1000   24.3000  118.9000   26.4000    3.7563
  117.2000   26.4000  118.9000   26.4000    3.7972
  118.0000   27.7000  118.9000   26.4000    3.7615
  119.5000   25.2000  118.9000   26.4000    3.6954
  119.6000   28.0000  118.9000   26.4000    3.6770
  118.4000   24.5000  118.9000   26.4000    3.8664
  115.8000   25.6000  118.9000   26.4000    3.8183
  117.6000   24.5000  118.9000   26.4000    3.8003
  116.3000   26.3000  118.9000   26.4000    3.8495
  116.6000   24.7000  118.9000   26.4000    3.7953
  118.0000   27.7000  119.8000   25.5000    3.6630
  117.2000   26.9000  119.8000   25.5000    3.8268
  119.1000   27.6000  119.8000   25.5000    4.0130
  117.6000   24.5000  119.8000   25.5000    4.0279
  116.6000   27.5000  119.8000   25.5000    3.8134
  117.1000   25.7000  119.8000   25.5000    3.9172
  118.0000   28.4000  119.8000   25.5000    3.7991
  116.6000   23.7000  119.8000   25.5000    3.7430
  118.9000   27.4000  119.8000   25.5000    3.7347
  118.6000   24.9000  119.8000   25.5000    3.6431
  119.6000   28.0000  119.8000   25.5000    3.8546
  117.5000   27.3000  119.8000   25.5000    3.7581
  116.1000   24.3000  118.2000   25.3000    3.7644
  116.6000   27.5000  118.2000   25.3000    3.7333
  116.6000   23.7000  118.2000   25.3000    3.7886
  116.6000   24.7000  118.2000   25.3000    3.7210
  118.0000   28.4000  118.2000   25.3000    3.7995
  119.1000   27.6000  118.2000   25.3000    3.8304
  115.8000   25.6000  118.2000   25.3000    3.7364
  115.7000   27.9000  118.2000   25.3000    3.7769
  116.2000   28.2000  118.2000   25.3000    3.7886
  118.9000   27.4000  118.2000   25.3000    3.8234
  116.2000   23.8000  118.2000   25.3000    3.8116
  116.3000   26.3000  118.2000   25.3000    3.7497
  115.8000   27.4000  118.2000   25.3000    3.7836
  118.4000   24.5000  115.6000   25.0000    3.8222
  120.4000   23.9000  118.4000   24.5000    3.8156
  119.1000   27.6000  118.4000   24.5000    3.8504
  119.9000   26.2000  118.4000   24.5000    3.8550
  116.1000   24.3000  117.3000   24.4000    4.0315
  118.0000   28.4000  117.3000   24.4000    3.7887
  115.7000   27.9000  117.3000   24.4000    3.7418
  118.0000   27.7000  117.3000   24.4000    3.8361
  116.2000   23.8000  117.3000   24.4000    3.7671
  117.5000   27.3000  117.3000   24.4000    3.8006
  117.4000   26.0000  117.3000   24.4000    3.8099
  116.3000   26.3000  117.3000   24.4000    3.7288
  118.6000   24.9000  117.3000   24.4000    4.0132
  116.6000   27.5000  117.3000   24.4000    3.7848
  116.2000   28.2000  117.3000   24.4000    3.7739
  117.2000   26.9000  117.3000   24.4000    3.8119
  118.9000   27.4000  117.3000   24.4000    3.7865
  115.8000   27.4000  117.3000   24.4000    3.8640
  119.5000   27.4000  117.3000   24.4000    3.7683
  118.1000   26.0000  117.3000   24.4000    3.8096
  115.6000   25.0000  117.3000   24.4000    3.6742
  117.1000   25.7000  117.3000   24.4000    3.7585
  115.8000   25.6000  117.3000   24.4000    3.7296
  119.5000   25.2000  117.3000   24.4000    3.8896
  115.6000   25.0000  116.6000   27.5000    3.9854
  116.3000   26.3000  116.6000   27.5000    3.8564
  119.1000   27.6000  116.6000   27.5000    3.8119
  118.0000   28.4000  116.6000   27.5000    3.7788
  118.4000   24.5000  116.6000   27.5000    3.7885
  118.0000   28.4000  118.1000   26.0000    3.7848
  118.9000   27.4000  118.1000   26.0000    3.8407
  116.6000   23.7000  118.1000   26.0000    3.8021
  115.8000   27.4000  118.1000   26.0000    3.7058
  115.7000   27.9000  118.1000   26.0000    3.7988
  116.3000   26.3000  118.1000   26.0000    3.7753
  116.2000   23.8000  118.1000   26.0000    3.8083
  116.1000   24.3000  118.1000   26.0000    3.7664
  116.2000   28.2000  118.1000   26.0000    3.7596
  117.6000   24.5000  118.1000   26.0000    3.6530
  115.8000   25.6000  118.1000   26.0000    3.7917
  116.6000   27.5000  118.1000   26.0000    3.7487
  118.4000   24.5000  118.1000   26.0000    3.8082
  119.6000   28.0000  118.1000   26.0000    3.7186
  115.6000   25.0000  118.1000   26.0000    3.8739
  119.1000   27.6000  118.1000   26.0000    3.8369
  116.1000   24.3000  119.5000   25.2000    3.8165
  117.5000   27.3000  119.5000   25.2000    3.8186
  118.9000   27.4000  119.5000   25.2000    3.7987
  118.4000   24.5000  119.5000   25.2000    3.7697
  118.1000   26.0000  119.5000   25.2000    3.7838
  117.4000   26.0000  119.5000   25.2000    3.7391
  119.5000   27.4000  119.5000   25.2000    3.7818
  116.6000   24.7000  119.5000   25.2000    3.8083
  116.6000   27.5000  119.5000   25.2000    3.8151
  115.6000   25.0000  119.5000   25.2000    3.6578
  119.1000   27.6000  119.5000   25.2000    3.7523
  116.2000   28.2000  119.5000   25.2000    3.8056
  118.0000   27.7000  119.5000   25.2000    3.8144
  118.0000   28.4000  119.5000   25.2000    3.7818
  117.6000   24.5000  119.5000   25.2000    3.6858
  116.3000   26.3000  119.5000   25.2000    3.7853
  116.6000   23.7000  119.5000   25.2000    3.8368
  115.8000   25.6000  119.5000   25.2000    3.8384
  117.1000   25.7000  119.5000   25.2000    3.7425
  115.7000   27.9000  119.5000   25.2000    3.8033
  117.4000   26.0000  119.4000   26.0000    3.8347
  116.3000   26.3000  119.4000   26.0000    3.8351
  116.6000   27.5000  119.4000   26.0000    3.8173
  117.5000   27.3000  119.4000   26.0000    3.7760
  117.3000   24.4000  119.4000   26.0000    3.7731
  115.7000   27.9000  119.4000   26.0000    3.7895
  117.2000   26.9000  119.4000   26.0000    3.7801
  115.8000   25.6000  119.4000   26.0000    3.7670
  116.1000   24.3000  119.4000   26.0000    3.7892
  119.1000   27.6000  119.4000   26.0000    3.7936
  118.0000   28.4000  119.4000   26.0000    3.7992
  117.2000   26.4000  119.4000   26.0000    3.8217
  116.2000   28.2000  119.4000   26.0000    3.7776
  118.6000   24.9000  119.4000   26.0000    3.8414
  116.6000   24.7000  119.4000   26.0000    3.7505
  118.2000   25.3000  119.4000   26.0000    3.8336
  117.5000   25.0000  119.4000   26.0000    3.7637
  119.0000   25.0000  119.4000   26.0000    3.9877
  118.0000   27.7000  119.4000   26.0000    3.7498
  118.2000   26.6000  119.4000   26.0000    3.8782
  119.5000   27.4000  119.4000   26.0000    3.7734
  118.5000   27.9000  119.4000   26.0000    3.7894
  118.9000   27.4000  119.4000   26.0000    3.7836
  116.2000   23.8000  119.4000   26.0000    3.8073
  118.4000   24.5000  119.4000   26.0000    3.8366
  117.1000   25.7000  119.4000   26.0000    3.8342
  115.7000   27.9000  119.6000   26.7000    3.8157
  118.0000   28.4000  119.6000   26.7000    3.7193
  116.2000   23.8000  119.6000   26.7000    3.7623
  117.1000   25.7000  119.6000   26.7000    3.7790
  118.0000   27.7000  119.6000   26.7000    3.7025
  119.5000   25.2000  119.6000   26.7000    3.7650
  117.6000   24.5000  119.6000   26.7000    3.9734
  118.5000   27.9000  119.6000   26.7000    3.6994
  117.2000   26.9000  119.6000   26.7000    3.8616
  117.3000   24.4000  119.6000   26.7000    3.8443
  116.6000   23.7000  119.6000   26.7000    3.8153
  116.6000   27.5000  119.6000   26.7000    3.7996
  116.2000   28.2000  119.6000   26.7000    3.8309
  116.3000   26.3000  119.6000   26.7000    3.7689
  116.1000   24.3000  119.6000   26.7000    3.7820
  115.8000   25.6000  119.6000   26.7000    3.7456
  118.1000   26.0000  119.6000   26.7000    3.6983
  118.4000   24.5000  119.6000   26.7000    3.8429
  118.6000   24.9000  119.6000   26.7000    3.8222
  117.4000   26.0000  119.6000   26.7000    3.7463
  115.8000   27.4000  119.6000   26.7000    3.7941
  119.1000   27.6000  119.6000   26.7000    3.8224
  119.0000   25.4000  119.6000   26.7000    3.8263
  119.8000   25.5000  119.6000   26.7000    3.7380
  118.2000   26.6000  119.6000   26.7000    3.9561
  118.2000   25.3000  119.6000   26.7000    3.7570
  118.9000   27.4000  119.6000   26.7000    3.8899
